k,dijkstra_approx_avg,bellman_ford_approx_avg,exact_avg
1,1206.88,1605.56,1206.88
2,1206.88,1271.18,1206.88
3,1206.88,1216.36,1206.88
4,1206.88,1207.82,1206.88
5,1206.88,1206.89,1206.88
6,1206.88,1206.88,1206.88
7,1206.88,1206.88,1206.88
8,1206.88,1206.88,1206.88
9,1206.88,1206.88,1206.88
10,1206.88,1206.88,1206.88
20,1206.88,1206.88,1206.88
30,1206.88,1206.88,1206.88
50,1206.88,1206.88,1206.88
