n,time
1,2.0599365234375e-06
21,0.002031984329223633
41,0.014569563865661621
61,0.03494845390319824
81,0.07851640701293945
101,0.15410665035247803
121,0.2608691358566284
141,0.4171415901184082
161,0.629355206489563
181,0.9127438068389893
